tiempo(min),ph,temperatura(ºC),potencial(mv),conductividad(micro S).EL 3 4 y 5. vol in= 600 ml.
0,5.03,18.9,105.5,2.4
3,4.7,19.1,121.7,4.6
6,4.51,19.3,133.1,9.26
9,4.36,19.5,141.5,14.82
14,4.14,19.8,154.3,23.7
19,4.01,20,161.1,29.9
24,3.88,20.3,168.3,38
29,3.78,20.6,174.4,47
34,3.69,20.8,179.3,63.4
39,3.61,21.1,183.6,75.3
44,3.55,21.2,186.8,86.7
49,3.49,21.4,190.3,100.1
54,3.45,21.5,192.4,109
60,3.42,21.5,194.4,117.2
70,3.35,21.6,198.1,132
80,3.29,21.6,201.5,151.4
90,3.26,17.8,199.9,183
100,3.22,17.7,202.5,186.4
110,3.21,17.7,203.1,191
120,3.19,18.4,204.5,207
130,3.15,19.2,207.2,228
140,3.10,19.7,210,251
150,3.07,20.1,212.2,272
160,3.03,20.4,214.8,294
170,2.99,20.8,217.2,319
180,2.95,20.9,219.1,341
190,2.92,21,220.9,364
200,2.89,21.1,222.6,386
210,2.87,21.2,224.2,408
