tiempo(min),ph,temperatura(ºC),potencial(mv),conductividad(micro S).EL 3 4 y 5. vol in= 600 ml.
0,5.51,18.6,78.4,0
2,5.25,18.8,93.3,0
4,5.06,18.9,101.6,0.07
6,4.87,19,111.3,0.15
8,4.71,19.1,122.4,0.4
10,4.52,19.2,132.1,0.83
12,4.42,19.4,138,1.25
18,4.23,19.8,149,3.39
23,4.07,20.1,157.7,20.1
28,3.96,20.4,163.4,28.5
