tiempo(min),ph,temperatura(ºC),potencial(mv),conductividad(micro S).EL 3 4 y 5. vol in= 600 ml.
0,5.18,19.1,97.8,2.02
5,4.65,19.2,126.7,5.45
10,4.47,19.4,135.9,9.6
22,4.21,20,150.7,20.1
30,4.08,20.3,157.7,27
40,3.96,20.5,164.3,35.1
50,3.88,20.8,169.4,42.9
60,3.8,21,173.1,50.5
70,3.74,21.2,177.1,58.7
80,3.69,21.3,179.7,66.2
90,3.65,21.4,182.1,72.8
100,3.61,21.5,184.1,78.1
110,3.58,21.5,186.2,84.4
120,3.53,21.6,188.5,92
