Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
474	0,854279	0,132813	0,130264	0,106201	0,092896	0,119919	0,117996	0,13028
475	0,856262	0,136887	0,134933	0,108032	0,093872	0,121094	0,119995	0,131912
476	0,858398	0,141037	0,13974	0,109833	0,094818	0,122253	0,12207	0,133545
477	0,86055	0,145462	0,144699	0,11174	0,095901	0,12355	0,124283	0,135254
478	0,862701	0,149963	0,14978	0,113632	0,096985	0,124771	0,126434	0,136887
479	0,864929	0,154602	0,154968	0,11554	0,098022	0,126022	0,128708	0,138535
480	0,867172	0,159271	0,160294	0,11763	0,099167	0,12735	0,131042	0,140259
481	0,869415	0,164032	0,165573	0,119675	0,100296	0,128647	0,133392	0,141907
482	0,871826	0,169159	0,171188	0,121811	0,101471	0,129883	0,13588	0,143616
483	0,874435	0,174469	0,177185	0,124069	0,102737	0,131363	0,138565	0,145477
484	0,876907	0,179657	0,182983	0,126312	0,104004	0,132736	0,141159	0,147186
485	0,87941	0,185028	0,189117	0,128632	0,10524	0,134171	0,143799	0,148941
486	0,882187	0,190826	0,195663	0,131027	0,10672	0,135712	0,146744	0,150955
487	0,884903	0,19664	0,202103	0,133469	0,108078	0,137177	0,149658	0,152756
488	0,887604	0,202454	0,208603	0,135818	0,109436	0,13858	0,152496	0,154556
489	0,890533	0,208557	0,215454	0,13829	0,110886	0,140137	0,155533	0,156342
490	0,893677	0,215134	0,222794	0,141068	0,112503	0,141785	0,15892	0,15834
491	0,896851	0,221481	0,229889	0,143677	0,113983	0,143311	0,162109	0,160233
492	0,900177	0,228195	0,237473	0,146439	0,11557	0,14502	0,165451	0,162186
493	0,903748	0,235382	0,245544	0,14949	0,117371	0,146881	0,169189	0,164261
494	0,907211	0,242188	0,25325	0,152252	0,119019	0,148529	0,172653	0,166153
495	0,910843	0,249573	0,261429	0,155151	0,120743	0,150238	0,176331	0,168137
496	0,914673	0,257233	0,269821	0,158203	0,122498	0,152008	0,180176	0,170059
497	0,918365	0,264587	0,27803	0,161041	0,124146	0,153687	0,183792	0,171844
498	0,922394	0,272293	0,286758	0,164261	0,126038	0,155563	0,18779	0,173965
499	0,926544	0,280182	0,295563	0,167389	0,127914	0,157394	0,191788	0,17598
500	0,930679	0,2883	0,304672	0,170547	0,129852	0,159348	0,195847	0,177933
501	0,934921	0,296753	0,314087	0,173889	0,131836	0,161255	0,200134	0,179977
502	0,939148	0,304993	0,323257	0,177094	0,133713	0,16301	0,2043	0,181946
503	0,943558	0,3134	0,332611	0,180405	0,135788	0,164948	0,208633	0,184006
504	0,947983	0,322128	0,34227	0,183716	0,137695	0,166824	0,212997	0,185898
505	0,952454	0,330917	0,352036	0,187149	0,139755	0,168793	0,217453	0,187866
506	0,95697	0,339737	0,361969	0,190582	0,141739	0,170746	0,222092	0,189728
507	0,961624	0,348755	0,372009	0,194031	0,143799	0,172668	0,226685	0,191788
508	0,966492	0,358124	0,38237	0,197647	0,146027	0,17482	0,231461	0,193848
509	0,971329	0,367584	0,392883	0,201279	0,148254	0,17691	0,236298	0,195831
